case,class,arrival,service,departure,server,arr_nis,arr_niq,sojourn,cum_arrival,arr_nservice,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2,last_remaining_los
118,0,1.127369187212314,1.127369187212314,1.5575701590519972,26,38,0,0.4302009718396833,119,38,13,15,10,0.12199730558499655
119,0,1.1347814590108218,1.1347814590108218,1.2542853525894615,20,38,0,0.11950389357863966,120,38,13,15,10,0.4227887000411754
120,0,1.1389991202210954,1.1389991202210954,1.8391543933792227,28,38,0,0.7001552731581273,121,38,12,16,10,0.1152862323683661
121,1,1.144543903006557,1.144543903006557,1.3625637305857634,1,38,0,0.21801982757920646,122,38,12,16,10,0.6946104903726658
122,1,1.1655323167911205,1.1655323167911205,1.4007940466152329,0,38,0,0.23526172982411242,123,38,12,16,10,0.19703141379464295
123,0,1.1810873507082569,1.1810873507082569,1.2994313959090484,22,36,0,0.11834404520079156,124,36,11,15,10,0.219706695906976
124,0,1.1841167662618417,1.1841167662618417,2.6590056537301523,14,36,0,1.4748888874683106,125,36,10,16,10,0.11531462964720673
125,1,1.19954193697412,1.19954193697412,1.4506231969936636,29,36,0,0.25108126001954356,126,36,9,17,10,1.4594637167560323
126,2,1.243310893633086,1.243310893633086,2.5888099416023564,7,34,0,1.3454990479692706,127,34,9,15,10,0.2073123033605777
127,0,1.2453840188936396,1.2453840188936396,1.3329295455970822,11,35,0,0.08754552670344262,128,35,9,15,11,1.3434259227087169
128,0,1.2632284405892291,1.2632284405892291,1.3326029347224386,15,34,0,0.06937449413320951,129,34,9,14,11,0.06970110500785309
129,0,1.26676335710678,1.26676335710678,1.4608250515395829,20,35,0,0.19406169443280286,130,35,9,15,11,0.06583957761565862
130,0,1.2810604475522072,1.2810604475522072,1.5706823828720755,25,35,0,0.28962193531986835,131,35,8,16,11,0.1797646039873757
131,2,1.2826866392940746,1.2826866392940746,6.172473309010172,31,36,0,4.889786669716098,132,36,8,17,11,0.28799574357800095
132,1,1.3301822945109052,1.3301822945109052,3.4898480763562474,2,31,0,2.159665781845342,133,31,7,13,11,4.842291014499267
133,2,1.3480146378038842,1.3480146378038842,2.0558870677541257,6,29,0,0.7078724299502415,134,29,8,11,10,2.1418334385523634
134,0,1.3565792572853643,1.3565792572853643,2.015123051588903,11,29,0,0.6585437943035386,135,29,8,10,11,0.6993078104687613
135,0,1.3687937017552412,1.3687937017552412,1.4374187535188745,1,29,0,0.06862505176363332,136,29,7,11,11,0.6463293498336617
136,1,1.3735245648241297,1.3735245648241297,1.6866103983861709,13,30,0,0.3130858335620412,137,30,7,12,11,0.06389418869474484
137,2,1.379966733288294,1.379966733288294,1.9195577259253,15,30,0,0.5395909926370062,138,30,7,12,11,0.306643665097877
138,0,1.3973015635332426,1.3973015635332426,1.451952856686164,18,31,0,0.054651293152921276,139,31,7,12,12,0.5222561623920574
