,arrival,departure,sojourn,nis_arrival,arrival_count,arr_nis_class_1,arr_nis_class_0,arr_nis_class_2
267,1208.0001999999995,1344.7038187698088,136.70361876980928,74,267,45,22,7
268,1213.0001999999995,1320.5503723987567,107.55017239875724,73,268,46,21,6
269,1214.0001999999995,1337.003258857769,123.00305885776947,74,269,46,21,7
270,1215.0001999999995,1309.4559577253701,94.45575772537063,75,270,47,21,7
271,1219.0001999999995,2387.677547404038,1168.6773474040383,73,271,46,20,7
272,1221.0001999999995,1483.1578286895196,262.15762868952015,74,272,46,20,8
273,1224.0001999999995,1733.417873210593,509.4176732105934,75,273,47,20,8
274,1225.0001999999995,1384.1892612548527,159.1890612548532,76,274,48,20,8
275,1227.0001999999995,1368.8012395705932,141.80103957059373,76,275,47,20,9
276,1231.0001999999995,1414.3999969885926,183.39979698859315,76,276,47,20,9
277,1231.0002099999995,1383.8930076675474,152.89279766754794,77,277,47,20,10
278,1235.0002099999995,1354.3049027838258,119.30469278382634,76,278,45,20,11
279,1238.0002099999995,1369.2433658492191,131.24315584921965,77,279,46,20,11
280,1244.0002099999995,1370.5246804481542,126.52447044815472,78,280,46,20,12
281,1246.0002099999995,1445.339174615815,199.33896461581548,78,281,46,20,12
282,1260.0002099999995,1415.2578540348757,155.2576440348762,74,282,44,18,12
283,1260.0002199999994,1323.9699936933782,63.969773693378784,75,283,45,18,12
284,1268.0002199999994,1982.6831422739897,714.6829222739902,74,284,45,18,11
285,1282.0002199999994,1536.2031777957804,254.202957795781,72,285,43,19,10
286,1286.0002199999994,1415.1333641540182,129.13314415401874,72,286,44,19,9
287,1289.0002199999994,1698.7022977601268,409.7020777601274,69,287,41,19,9
288,1302.0002199999994,1457.5517584984584,155.55153849845897,68,288,41,19,8
289,1303.0002199999994,1524.4634597094578,221.46323970945832,69,289,42,19,8
290,1309.0002199999994,1668.2510229437696,359.25080294377017,70,290,43,19,8
291,1309.0002299999994,1575.1221848151213,266.12195481512185,71,291,43,19,9
292,1313.0002299999994,1348.6740570549782,35.6738270549788,70,292,41,20,9
293,1315.0002299999994,1552.632362017402,237.63213201740268,71,293,42,20,9
294,1318.0002299999994,1702.104420433923,384.1041904339236,72,294,43,20,9
295,1318.0002399999994,1500.480217920722,182.4799779207226,73,295,44,20,9
296,1320.0002399999994,1530.8629750011007,210.86273500110133,74,296,45,20,9
297,1322.0002399999994,1461.1157238320607,139.11548383206127,74,297,46,20,8
298,1323.0002399999994,1480.5843218713055,157.58408187130613,75,298,46,20,9
299,1327.0002399999994,1385.8071161235366,58.80687612353722,74,299,45,20,9
300,1329.0002399999994,1476.986948413571,147.9867084135717,75,300,46,20,9
301,1331.0002399999994,1532.1771237645646,201.17688376456522,76,301,47,20,9
302,1331.0002499999994,1494.6363702023082,163.6361202023088,77,302,48,20,9
303,1333.0002499999994,1922.3774986772614,589.3772486772621,77,303,48,20,9
304,1339.0002499999994,1487.2564200477605,148.2561700477611,76,304,46,21,9
305,1346.0002499999994,1409.4823062572816,63.48205625728224,74,305,44,21,9
306,1346.0002599999993,1483.475457878897,137.4751978788977,75,306,45,21,9
307,1348.0002599999993,1685.3306204361688,337.3303604361695,76,307,46,21,9
308,1352.0002599999993,2194.567767414785,842.5675074147857,76,308,45,22,9
309,1356.0002599999993,1514.5663094211932,158.56604942119384,76,309,44,23,9
310,1356.0002699999993,1569.1643461643077,213.16407616430843,77,310,45,23,9
311,1357.0002699999993,1568.9203495450422,211.92007954504288,78,311,46,23,9
312,1366.0002699999993,1549.7181298813523,183.71785988135298,78,312,46,23,9
313,1368.0002699999993,1785.9179488952238,417.9176788952245,79,313,47,23,9
314,1377.0002699999993,1574.2871491866292,197.2868791866299,77,314,46,23,8
315,1387.0002699999993,1531.3397087408762,144.33943874087686,74,315,46,22,6
316,1389.0002699999993,1453.8362398902154,64.83596989021612,74,316,47,21,6
317,1393.0002699999993,2057.0987377601873,664.098467760188,74,317,48,20,6
318,1397.0002699999993,1411.2134217587236,14.21315175872428,75,318,48,21,6
319,1399.0002699999993,1864.4054631491665,465.4051931491672,75,319,47,21,7
320,1400.0002699999993,1519.3385852070082,119.33831520700892,76,320,48,21,7
321,1406.0002699999993,1593.8519940088927,187.85172400889337,76,321,48,21,7
322,1406.0002799999993,1957.3603894994503,551.360109499451,77,322,49,21,7
323,1407.0002799999993,1627.6991579354667,220.6988779354674,76,323,48,21,7
324,1413.0002799999993,1456.595561060648,43.59528106064863,74,324,47,21,6
325,1415.0002799999993,1769.6671072367997,354.6668272368004,74,325,47,21,6
326,1419.0002799999993,1985.2664593188126,566.2661793188133,73,326,47,21,5
327,1423.0002799999993,1567.6233128519252,144.62303285192593,73,327,47,21,5
328,1428.0002799999993,1866.351189847392,438.3509098473928,73,328,46,21,6
329,1437.0002799999993,1464.3674670268683,27.367187026869033,72,329,45,21,6
330,1440.0002799999993,1701.689026248204,261.6887462482048,73,330,46,21,6
331,1442.0002799999993,2173.9542215480533,731.953941548054,74,331,47,21,6
332,1450.0002799999993,1596.70634115362,146.7060611536208,72,332,46,20,6
333,1450.0002899999993,1672.7629761417065,222.76268614170726,73,333,46,20,7
334,1454.0002899999993,1949.7306536758051,495.73036367580585,72,334,46,19,7
335,1460.0002899999993,1499.0732505523151,39.07296055231586,69,335,44,19,6
336,1461.0002899999993,1615.2419457693163,154.24165576931705,70,336,44,19,7
337,1466.0002899999993,1617.8997991184347,151.8995091184354,68,337,43,19,6
338,1466.0002999999992,1792.4115307346237,326.4112307346245,69,338,44,19,6
339,1469.0002999999992,1633.7142692091218,164.71396920912252,70,339,45,19,6
340,1473.0002999999992,1905.4319783577398,432.43167835774057,69,340,45,18,6
341,1492.0002999999992,1499.1614367977522,7.161136797752988,62,341,39,17,6
342,1516.0002999999992,1789.7124967176258,273.7121967176265,53,342,32,16,5
343,1518.0002999999992,1809.942954551593,291.9426545515937,54,343,33,16,5
344,1530.0002999999992,1856.4023435241193,326.40204352412,52,344,31,16,5
345,1531.0002999999992,1730.8679297429337,199.86762974293447,52,345,30,16,6
346,1543.0002999999992,2311.2016613550095,768.2013613550102,49,346,26,16,7
